1,AARDVARK,2,1-2,NOUN,iambic,2
2,A,1,0,DETERMINER,none,0
7,ABACK,2,0-1,ADVERB,iambic,1
9,ABACUS,3,1-0-0,NOUN,trochaic,1
14,ABALONE,4,2-0-1-0,NOUN,dactylic,1
16,ABANDON,3,0-1-0,NOUN,anapestic,1
17,ABANDONED,3,0-1-0,ADJECTIVE,anapestic,1
18,ABANDONMENT,4,0-1-0-0,NOUN,anapestic,3
23,ABASH,2,0-1,VERB,iambic,1
24,ABASHED,2,0-1,ADJECTIVE,iambic,1
26,ABASIA,3,0-1-0,NOUN,anapestic,1
28,ABATE,2,0-1,VERB,iambic,1
29,ABATEMENT,3,0-1-0,NOUN,anapestic,2
30,ABATING,3,0-1-0,VERB,anapestic,1
34,ABATTOIR,3,2-0-1,NOUN,dactylic,2
36,ABBA,2,1-0,NOUN,trochaic,1
41,ABBE,2,1-0,NOUN,trochaic,1
43,ABBEY,2,1-0,NOUN,trochaic,1
44,ABBOT,2,1-0,NOUN,trochaic,1
45,ABBREVIATE,4,0-1-0-2,VERB,iambic,3
46,ABBREVIATED,5,0-1-0-2-0,ADJECTIVE,iambic,3
47,ABBREVIATION,5,0-2-0-1-0,NOUN,dactylic,2
55,ABDICATE,3,1-0-2,VERB,iambic,2
56,ABDICATION,4,2-0-1-0,NOUN,dactylic,1
60,ABDOMEN,3,0-1-0,NOUN,anapestic,1
61,ABDOMINAL,4,0-1-0-0,NOUN,anapestic,2
70,ABDUCT,2,0-1,VERB,iambic,2
71,ABDUCTION,3,0-1-0,NOUN,anapestic,1
73,ABDUCTOR,3,0-1-0,NOUN,anapestic,1
78,ABED,2,0-1,ADVERB,iambic,1
79,ABEL,2,1-0,NOUN,trochaic,1
88,ABERRANT,3,0-1-0,NOUN,anapestic,1
89,ABERRATION,4,2-0-1-0,NOUN,dactylic,3
91,ABET,2,0-1,VERB,iambic,1
96,ABEYANCE,3,0-1-0,NOUN,anapestic,1
100,ABHOR,2,0-1,VERB,iambic,2
101,ABHORRENCE,3,0-1-0,NOUN,anapestic,2
102,ABHORRENT,3,0-1-0,ADJECTIVE,anapestic,2
106,ABIDE,2,0-1,VERB,iambic,1
107,ABIDING,3,0-1-0,ADJECTIVE,anapestic,1
114,ABILITIES,4,0-1-0-2,NOUN,iambic,2
115,ABILITY,4,0-1-0-2,NOUN,iambic,2
121,ABJECT,2,1-0,ADJECTIVE,trochaic,2
132,ABLATION,3,2-1-2,NOUN,trochaic,2
135,ABLAZE,2,0-1,ADJECTIVE,iambic,2
136,ABLE,2,1-0,ADJECTIVE,trochaic,1
144,ABLOOM,2,0-1,ADJECTIVE,iambic,1
146,ABLUTION,3,0-1-0,NOUN,anapestic,1
149,ABNEGATION,4,2-0-1-0,NOUN,dactylic,2
151,ABNORMAL,3,0-1-0,ADJECTIVE,anapestic,1
152,ABNORMALITY,5,2-0-1-0-0,NOUN,dactylic,3
154,ABNORMALLY,4,0-1-0-0,ADVERB,anapestic,2
158,ABOARD,2,0-1,PREPOSITION,iambic,1
160,ABODE,2,0-1,NOUN,iambic,1
168,ABOLISH,3,0-1-0,VERB,anapestic,1
171,ABOLITION,4,2-0-1-0,NOUN,dactylic,1
173,ABOLITIONISM,6,2-0-1-0-2-0,NOUN,dactylic,2
174,ABOLITIONIST,5,2-0-1-0-0,NOUN,dactylic,3
178,ABOMINABLE,5,0-1-0-0-0,ADJECTIVE,anapestic,3
180,ABOMINATION,5,0-2-0-1-0,NOUN,dactylic,3
185,ABORIGINAL,5,2-0-1-0-0,ADJECTIVE,dactylic,2
186,ABORIGINE,5,2-0-1-0-0,NOUN,dactylic,2
187,ABORIGINES,5,2-0-1-0-0,NOUN,dactylic,2
189,ABORT,2,0-1,NOUN,iambic,1
191,ABORTIFACIENT,5,0-2-0-1-0,NOUN,dactylic,3
192,ABORTION,3,0-1-0,NOUN,anapestic,2
193,ABORTIONIST,4,0-1-0-0,NOUN,anapestic,2
194,ABORTIVE,3,0-1-0,ADJECTIVE,anapestic,2
197,ABOUND,2,0-1,VERB,iambic,1
198,ABOUNDING,3,0-1-0,ADJECTIVE,anapestic,2
199,ABOUT,2,0-1,PREPOSITION,iambic,1
201,ABOVE,2,0-1,PREPOSITION,iambic,1
202,ABOVEBOARD,3,0-1-2,ADJECTIVE,iambic,2
208,ABRACADABRA,5,2-0-0-1-0,NOUN,dactylic,2
210,ABRADE,2,0-1,VERB,iambic,1
211,ABRADED,3,0-1-0,ADJECTIVE,anapestic,1
213,ABRAHAM,3,1-0-2,NOUN,iambic,1
216,ABRASION,3,0-1-0,NOUN,anapestic,2
217,ABRASIVE,3,0-1-0,NOUN,anapestic,2
218,ABREAST,2,0-1,ADJECTIVE,iambic,1
221,ABRIDGE,2,0-1,VERB,iambic,1
222,ABRIDGED,2,0-1,ADJECTIVE,iambic,1
226,ABROAD,2,0-1,ADJECTIVE,iambic,1
229,ABROGATE,3,1-0-2,VERB,iambic,3
230,ABROGATED,4,1-0-2-0,VERB,iambic,3
231,ABROGATION,4,2-0-1-0,NOUN,dactylic,3
233,ABRUPT,2,0-1,ADJECTIVE,iambic,1
235,ABRUPTLY,3,0-1-0,ADVERB,anapestic,1
236,ABRUPTNESS,3,0-1-0,NOUN,anapestic,1
238,ABSCESS,2,1-2,NOUN,iambic,2
244,ABSCOND,2,0-1,VERB,iambic,2
247,ABSENCE,2,1-0,NOUN,trochaic,2
249,ABSENT,2,1-0,ADJECTIVE,trochaic,1
250,ABSENTEE,3,2-0-1,NOUN,dactylic,2
251,ABSENTEEISM,5,2-0-1-0-0,NOUN,dactylic,3
258,ABSINTHE,2,1-0,NOUN,trochaic,2
259,ABSOLUTE,3,1-0-2,NOUN,iambic,3
260,ABSOLUTELY,4,2-0-1-0,ADVERB,dactylic,3
261,ABSOLUTENESS,4,1-0-2-0,NOUN,iambic,3
262,ABSOLUTION,4,2-0-1-0,NOUN,dactylic,2
263,ABSOLUTISM,5,1-0-2-2-0,NOUN,iambic,2
264,ABSOLUTIST,4,0-0-1-0,NOUN,anapestic,1
265,ABSOLVE,2,0-1,VERB,iambic,1
266,ABSOLVED,2,0-1,ADJECTIVE,iambic,1
272,ABSORB,2,0-1,VERB,iambic,1
275,ABSORBED,2,0-1,ADJECTIVE,iambic,1
277,ABSORBENCY,4,0-1-0-0,NOUN,anapestic,1
278,ABSORBENT,3,0-1-0,ADJECTIVE,anapestic,1
279,ABSORBER,3,0-1-0,NOUN,anapestic,1
280,ABSORBING,3,0-1-0,ADJECTIVE,anapestic,1
281,ABSORPTION,3,0-1-0,NOUN,anapestic,1
284,ABSTAIN,2,0-1,VERB,iambic,2
289,ABSTENTION,3,0-1-0,NOUN,anapestic,2
294,ABSTINENCE,3,1-0-0,NOUN,trochaic,2
295,ABSTINENT,3,1-0-0,ADJECTIVE,trochaic,2
296,ABSTRACT,2,0-1,ADJECTIVE,iambic,2
297,ABSTRACTED,3,1-2-2,ADJECTIVE,iambic,2
300,ABSTRACTION,3,0-1-0,NOUN,anapestic,2
307,ABSTRUSE,2,0-1,ADJECTIVE,iambic,2
309,ABSURD,2,0-1,NOUN,iambic,2
310,ABSURDITY,4,0-1-0-0,NOUN,anapestic,2
311,ABSURDLY,3,0-1-0,ADVERB,anapestic,2
318,ABUNDANCE,3,0-1-0,NOUN,anapestic,2
319,ABUNDANT,3,0-1-0,ADJECTIVE,anapestic,2
321,ABUNDANTLY,4,0-1-0-0,ADVERB,anapestic,3
322,ABUSE,2,0-1,NOUN,iambic,1
323,ABUSED,2,0-1,ADJECTIVE,iambic,2
324,ABUSER,3,0-1-0,NOUN,anapestic,2
325,ABUSIVE,3,0-1-0,ADJECTIVE,anapestic,2
327,ABUT,2,0-1,VERB,iambic,1
332,ABUTTING,3,0-1-0,ADJECTIVE,anapestic,2
333,ABUZZ,2,0-1,ADJECTIVE,iambic,1
338,ABYSMAL,3,0-1-0,ADJECTIVE,anapestic,1
339,ABYSS,2,0-1,NOUN,iambic,1
343,ACACIA,3,0-1-0,NOUN,anapestic,1
344,ACADEMIA,5,2-0-1-0-0,NOUN,dactylic,3
345,ACADEMIC,4,2-0-1-0,ADJECTIVE,dactylic,2
347,ACADEMICALLY,5,2-0-1-0-0,ADVERB,dactylic,3
348,ACADEMICIAN,5,2-0-0-1-0,NOUN,dactylic,3
351,ACADEMY,4,0-1-0-0,NOUN,anapestic,1
352,ACADIA,4,0-1-0-0,NOUN,anapestic,1
375,ACAPULCO,4,2-0-1-0,NOUN,dactylic,1
396,ACCEDE,2,0-1,VERB,iambic,1
398,ACCELERATE,4,0-1-0-2,VERB,iambic,2
399,ACCELERATED,5,0-1-0-2-0,ADJECTIVE,anapestic,3
400,ACCELERATING,5,0-1-0-2-0,VERB,anapestic,3
401,ACCELERATION,5,2-2-0-1-0,NOUN,trochaic,3
403,ACCELERATOR,5,0-1-0-2-0,NOUN,anapestic,3
404,ACCELEROMETER,6,0-2-0-1-0-0,NOUN,dactylic,3
406,ACCENT,2,0-1,NOUN,iambic,1
407,ACCENTED,3,1-0-0,ADJECTIVE,trochaic,2
409,ACCENTS,2,1-0,ADJECTIVE,trochaic,1
411,ACCENTUATE,4,0-1-0-0,VERB,anapestic,2
413,ACCEPT,2,0-1,VERB,iambic,1
415,ACCEPTABILITY,6,0-2-0-1-0-0,NOUN,dactylic,2
416,ACCEPTABLE,4,0-1-0-0,ADJECTIVE,anapestic,1
417,ACCEPTABLY,4,0-1-0-0,ADVERB,anapestic,1
418,ACCEPTANCE,3,0-1-0,NOUN,anapestic,2
420,ACCEPTED,3,0-1-0,ADJECTIVE,anapestic,1
421,ACCEPTING,3,0-1-0,ADJECTIVE,anapestic,1
425,ACCESS,2,1-2,NOUN,iambic,1
426,ACCESSIBLE,4,0-1-0-0,ADJECTIVE,anapestic,1
427,ACCESSION,3,0-1-0,NOUN,anapestic,1
430,ACCESSORY,4,0-1-0-0,NOUN,anapestic,1
433,ACCIDENT,3,1-0-0,NOUN,trochaic,1
434,ACCIDENTAL,4,2-0-1-0,NOUN,dactylic,1
435,ACCIDENTALLY,5,2-0-1-0-0,ADVERB,dactylic,2
437,ACCIDENTS,3,1-0-0,NOUN,trochaic,1
445,ACCLAIM,2,0-1,NOUN,iambic,2
447,ACCLAMATION,4,2-0-1-0,NOUN,dactylic,2
454,ACCOLADE,3,1-0-2,NOUN,iambic,2
455,ACCOMMODATE,4,0-1-0-2,VERB,iambic,3
456,ACCOMMODATING,5,0-1-0-2-0,ADJECTIVE,anapestic,3
457,ACCOMMODATION,5,0-2-0-1-0,NOUN,dactylic,1
459,ACCOMMODATIVE,5,0-1-0-2-0,ADJECTIVE,anapestic,1
461,ACCOMPANIED,4,0-1-0-0,ADJECTIVE,anapestic,1
462,ACCOMPANIMENT,4,0-1-0-0,NOUN,anapestic,1
463,ACCOMPANIST,4,0-1-0-0,NOUN,anapestic,1
464,ACCOMPANY,4,0-1-0-0,VERB,anapestic,1
465,ACCOMPANYING,5,0-1-0-0-0,ADJECTIVE,anapestic,1
466,ACCOMPLI,3,2-1-2,ADJECTIVE,trochaic,2
467,ACCOMPLICE,3,0-1-0,NOUN,anapestic,2
468,ACCOMPLISH,3,0-1-0,VERB,anapestic,2
470,ACCOMPLISHED,3,0-1-0,ADJECTIVE,anapestic,2
471,ACCOMPLISHMENT,4,0-1-0-0,NOUN,anapestic,3
472,ACCOMPLISHMENTS,4,0-1-0-0,NOUN,anapestic,3
474,ACCORD,2,0-1,NOUN,iambic,1
475,ACCORDANCE,3,0-1-0,NOUN,anapestic,2
478,ACCORDING,3,0-1-0,ADJECTIVE,anapestic,2
479,ACCORDINGLY,4,0-1-0-0,ADVERB,anapestic,3
480,ACCORDION,4,0-1-0-0,NOUN,anapestic,1
482,ACCOST,2,0-1,VERB,iambic,2
486,ACCOUNT,2,0-1,NOUN,iambic,1
487,ACCOUNTABILITY,6,0-1-0-2-0-0,NOUN,anapestic,2
488,ACCOUNTABLE,4,0-1-0-0,ADJECTIVE,anapestic,1
490,ACCOUNTANCY,4,0-1-0-2,NOUN,iambic,2
491,ACCOUNTANT,3,0-1-0,NOUN,anapestic,1
494,ACCOUNTING,3,0-1-0,NOUN,anapestic,1
495,ACCOUNTS,2,0-1,NOUN,iambic,1
501,ACCOUTREMENT,4,0-1-0-0,NOUN,anapestic,2
502,ACCOUTREMENTS,4,0-1-0-0,NOUN,anapestic,2
505,ACCREDIT,3,0-1-2,VERB,iambic,1
506,ACCREDITATION,5,0-2-0-1-0,NOUN,dactylic,2
507,ACCREDITED,4,0-1-0-0,ADJECTIVE,anapestic,1
508,ACCRETION,3,0-1-0,NOUN,anapestic,1
513,ACCRUE,2,0-1,VERB,iambic,1
514,ACCRUED,2,0-1,ADJECTIVE,iambic,1
522,ACCUMULATE,4,0-1-0-2,VERB,iambic,2
523,ACCUMULATED,5,0-1-0-2-0,ADJECTIVE,anapestic,2
524,ACCUMULATION,5,0-2-0-1-0,NOUN,dactylic,2
525,ACCUMULATIVE,5,0-1-0-2-0,ADJECTIVE,anapestic,3
526,ACCURACY,4,1-0-0-0,NOUN,trochaic,1
527,ACCURATE,3,1-0-0,ADJECTIVE,trochaic,1
528,ACCURATELY,4,1-0-0-0,ADVERB,trochaic,2
530,ACCURSED,2,2-1,ADJECTIVE,trochaic,1
532,ACCUSATION,4,2-0-1-0,NOUN,dactylic,2
533,ACCUSATIVE,4,0-1-0-0,NOUN,anapestic,2
535,ACCUSATORY,5,0-1-0-2-0,ADJECTIVE,anapestic,2
536,ACCUSE,2,0-1,VERB,iambic,1
537,ACCUSED,2,0-1,NOUN,iambic,1
538,ACCUSER,3,0-1-0,NOUN,anapestic,1
539,ACCUSING,3,0-1-0,ADJECTIVE,anapestic,1
540,ACCUSINGLY,4,0-1-0-0,ADVERB,anapestic,2
541,ACCUSTOM,3,0-1-0,VERB,anapestic,2
543,ACCUSTOMED,3,0-1-0,ADJECTIVE,anapestic,2
544,ACE,1,1,NOUN,none,1
560,ACERBIC,3,0-1-0,ADJECTIVE,anapestic,1
576,ACETATE,3,1-0-2,NOUN,iambic,1
577,ACETIC,3,0-1-0,ADJECTIVE,anapestic,1
578,ACETONE,3,1-0-2,NOUN,iambic,1
585,ACETYLENE,4,0-1-0-2,NOUN,iambic,1
588,ACHAEAN,3,0-1-0,NOUN,anapestic,1
594,ACHE,1,1,NOUN,none,1
595,ACHENE,2,0-1,NOUN,iambic,1
603,ACHIEVABLE,4,0-1-0-0,ADJECTIVE,anapestic,1
604,ACHIEVE,2,0-1,VERB,iambic,1
605,ACHIEVEMENT,3,0-1-0,NOUN,anapestic,2
606,ACHIEVER,3,0-1-0,NOUN,anapestic,1
609,ACHILLES,3,0-1-0,NOUN,anapestic,1
611,ACHING,2,1-0,ADJECTIVE,trochaic,1
637,ACID,2,1-0,NOUN,trochaic,1
639,ACIDIC,3,0-1-0,ADJECTIVE,anapestic,1
640,ACIDIFICATION,6,0-2-0-0-1-0,NOUN,dactylic,3
641,ACIDIFY,4,0-1-0-2,VERB,iambic,1
644,ACIDITY,4,0-1-0-0,NOUN,anapestic,1
647,ACIDOSIS,4,2-0-1-0,NOUN,dactylic,2
663,ACKNOWLEDGE,3,0-1-0,VERB,anapestic,1
664,ACKNOWLEDGEABLE,5,0-1-0-0-0,ADJECTIVE,anapestic,2
665,ACKNOWLEDGED,3,0-1-0,ADJECTIVE,anapestic,1
666,ACKNOWLEDGEMENT,4,0-1-0-0,NOUN,anapestic,2
668,ACME,2,1-0,NOUN,trochaic,1
669,ACNE,2,1-0,NOUN,trochaic,1
677,ACOLYTE,3,1-0-2,NOUN,iambic,1
685,ACORN,2,1-0,NOUN,trochaic,1
688,ACOUSTIC,3,0-1-0,NOUN,anapestic,1
689,ACOUSTICALLY,4,0-1-0-0,ADVERB,anapestic,2
691,ACOUSTICS,3,0-1-0,NOUN,anapestic,1
692,ACQUAINT,2,0-1,VERB,iambic,1
693,ACQUAINTANCE,3,0-1-0,NOUN,anapestic,2
694,ACQUAINTED,3,0-1-0,ADJECTIVE,anapestic,1
699,ACQUIESCE,3,2-0-1,VERB,dactylic,1
700,ACQUIESCENCE,4,2-0-1-0,NOUN,dactylic,2
701,ACQUIESCENT,4,2-0-1-0,ADJECTIVE,dactylic,2
703,ACQUIRE,3,0-1-0,VERB,anapestic,1
704,ACQUIRED,3,0-1-0,ADJECTIVE,anapestic,1
707,ACQUIRER,4,0-1-0-0,NOUN,anapestic,1
708,ACQUIRING,3,0-1-0,NOUN,anapestic,1
710,ACQUISITION,4,2-0-1-0,NOUN,dactylic,1
711,ACQUISITIONS,4,2-0-1-0,NOUN,dactylic,1
712,ACQUISITIVE,4,0-1-0-0,ADJECTIVE,anapestic,1
714,ACQUIT,2,0-1,VERB,iambic,2
716,ACQUITTAL,3,0-1-0,NOUN,anapestic,2
718,ACQUITTED,3,0-1-0,ADJECTIVE,anapestic,2
720,ACRE,2,1-0,NOUN,trochaic,1
721,ACREAGE,3,1-0-0,NOUN,trochaic,1
722,ACRES,2,1-0,NOUN,trochaic,1
723,ACRID,2,1-0,ADJECTIVE,trochaic,1
728,ACRIMONIOUS,5,2-0-1-0-0,ADJECTIVE,dactylic,2
729,ACRIMONY,4,1-0-2-0,NOUN,iambic,1
