WORDIDX,THEWORD,SYLCNT,FOOT,WORDTYPE,FEET,BEATCNT
1,AARDVARK,2,1-2,NOUN,iambic,1
2,A,1,0,DETERMINER,none,0
7,ABACK,2,0-1,ADVERB,iambic,1
9,ABACUS,3,1-0-0,NOUN,trochaic,1
14,ABALONE,4,2-0-1-0,NOUN,dactylic,1
16,ABANDON,3,0-1-0,NOUN,anapestic,1
17,ABANDONED,3,0-1-0,ADJECTIVE,anapestic,1
18,ABANDONMENT,4,0-1-0-0,NOUN,anapestic,1
23,ABASH,2,0-1,VERB,iambic,1
24,ABASHED,2,0-1,ADJECTIVE,iambic,1
26,ABASIA,3,0-1-0,NOUN,anapestic,1
28,ABATE,2,0-1,VERB,iambic,1
29,ABATEMENT,3,0-1-0,NOUN,anapestic,1
30,ABATING,3,0-1-0,VERB,anapestic,1
34,ABATTOIR,3,2-0-1,NOUN,dactylic,1
36,ABBA,2,1-0,NOUN,trochaic,1
41,ABBE,2,1-0,NOUN,trochaic,1
43,ABBEY,2,1-0,NOUN,trochaic,1
44,ABBOT,2,1-0,NOUN,trochaic,1
45,ABBREVIATE,4,0-1-0-2,VERB,iambic,1
