1,AIR,BEAR,CARE,FAIR,HAIR,SHARE,AFFAIR,DESPAIR,GLARE,RARE,UNAWARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ARM,CHARM,FARM,HARM,WARM,DISARM,ALARM,EMBALM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AGE,CAGE,PAGE,SAGE,RAGE,ENGAGE,RAMPAGE,STAGE,WAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AIM,BLAME,FAME,GAME,NAME,PROCLAIM,EXCLAIM,RECLAIM,FLAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BRIGHT,LIGHT,NIGHT,SIGHT,WHITE,DELIGHT,CONTRITE,HEIGHT,REIGNITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,BURN,TURN,LEARN,EARN,DISCERN,INTERN,YEARN,CONCERN,ADJOURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BALL,CALL,FALL,HALL,TALL,INSTALL,OVERALL,RECALL,SMALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,BEND,BLEND,SEND,FRIEND,LEND,APPEND,DEFEND,SUSPEND,EXTEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CRY,FLY,HIGH,TIE,SKY,COMPLY,DIGNIFY,INTENSIFY,BUTTERFLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,COLD,BOLD,HOLD,FOLD,GOLD,ENFOLD,BEHOLD,UNTOLD,UNCONTROLLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CLIMB,RHYME,TIME,CHIME,LIME,SUBLIME,REPRIME,PRIME,CRIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CLEAR,DEAR,FEAR,HEAR,NEAR,APPEAR,REVERE,ENGINEER,STEER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,DAY,BAY,CLAY,MAY,PLAY,ARRAY,DISPLAY,CONVEY,DECAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,DEEP,KEEP,LEAP,PEEP,SLEEP,STEEP,CREEP,SWEEP,HEAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DREAM,BEAM,CREAM,SCREAM,TEAM,REDEEM,ESTEEM,REGIME,GLEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,EDGE,PLEDGE,HEDGE,WEDGE,SLEDGE,ACKNOWLEDGE,PRIVILEGE,COLLEGE,KNOWLEDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,DRAW,CLAW,FLAW,JAW,PAW,WITHDRAW,OUTLAW,OVERAWE,FORESAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,END,BEND,FRIEND,SEND,LEND,APPEND,DEFEND,SUSPEND,EXTEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,EASE,BREEZE,CHEESE,PLEASE,TEASE,SQUEEZE,APPEASE,FREEZE,SEIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,FIRE,HIRE,TIRE,WIRE,MIRE,DESIRE,ENTIRE,INSPIRE,CONSPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,FACE,BASE,CASE,CHASE,GRACE,EMBRACE,REPLACE,DISGRACE,RETRACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FEEL,HEEL,MEAL,REAL,SEAL,APPEAL,CONCEAL,REVEAL,IDEAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,FINE,LINE,MINE,SHINE,DINE,DEFINE,REFINE,RECLINE,INCLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,GAME,NAME,SAME,TAME,FRAME,PROCLAIM,EXCLAIM,RECLAIM,BLAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,GOLD,BOLD,HOLD,FOLD,SOLD,UNFOLD,BEHOLD,UNTOLD,CONTROLLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,GLOW,FLOW,KNOW,SHOW,SLOW,BESTOW,OVERTHROW,PLATEAU,SHADOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,GRACE,BASE,CASE,FACE,PLACE,EMBRACE,REPLACE,DISGRACE,RETRACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,HEART,CART,PART,START,SMART,APART,CHART,IMPART,DART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,HILL,BILL,CHILL,FILL,STILL,INSTIL,FULFIL,SPILL,TRILL,INSTILL,FULFILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,HOPE,COPE,ROPE,SCOPE,SLOPE,ELOPE,ENVELOPE,GROPE,ANTELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,HARM,ARM,CHARM,FARM,ALARM,DISARM,EMBALM,CALM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,ICE,DICE,MICE,NICE,PRICE,ENTICE,PRECISE,SPLICE,SLICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,INCH,PINCH,CINCH,FLINCH,FINCH,UNCLINCH,REFLINCH,LYNCH,CRINCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,IDEA,FEAR,NEAR,CHEER,CLEAR,APPEAR,REVERE,ENGINEER,STEER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
