1,AIR,BEAR,CARE,FAIR,HAIR,SHARE,AFFAIR,DESPAIR,GLARE,RARE,UNAWARE
2,ARM,CHARM,FARM,HARM,WARM,DISARM,ALARM,EMBALM,,,
3,AGE,CAGE,PAGE,SAGE,RAGE,ENGAGE,RAMPAGE,STAGE,WAGE,,
4,AIM,BLAME,FAME,GAME,NAME,PROCLAIM,EXCLAIM,RECLAIM,FLAME,,
5,BRIGHT,LIGHT,NIGHT,SIGHT,WHITE,DELIGHT,CONTRITE,HEIGHT,REIGNITE,,
6,BURN,TURN,LEARN,EARN,DISCERN,INTERN,YEARN,CONCERN,,,
7,BALL,CALL,FALL,HALL,TALL,INSTALL,OVERALL,RECALL,SMALL,,
8,BEND,BLEND,SEND,FRIEND,LEND,APPEND,DEFEND,SUSPEND,EXTEND,,
9,CRY,FLY,HIGH,TIE,SKY,COMPLY,DIGNIFY,INTENSIFY,BUTTERFLY,,
10,COLD,BOLD,HOLD,FOLD,GOLD,ENFOLD,BEHOLD,UNTOLD,UNCONTROLLED,,
11,CLIMB,RHYME,TIME,CHIME,LIME,SUBLIME,REPRIME,PRIME,CRIME,,
12,CLEAR,DEAR,FEAR,HEAR,NEAR,APPEAR,REVERE,ENGINEER,STEER,,
13,DAY,BAY,CLAY,MAY,PLAY,ARRAY,DISPLAY,CONVEY,DECAY,,
14,DEEP,KEEP,LEAP,PEEP,SLEEP,STEEP,CREEP,SWEEP,HEAP,,
15,DREAM,BEAM,CREAM,SCREAM,TEAM,REDEEM,ESTEEM,REGIME,GLEAM,,
16,DRAW,CLAW,FLAW,JAW,PAW,WITHDRAW,OUTLAW,OVERAWE,FORESAW,,
17,END,BEND,FRIEND,SEND,LEND,APPEND,DEFEND,SUSPEND,EXTEND,,
18,EASE,BREEZE,CHEESE,PLEASE,TEASE,SQUEEZE,APPEASE,FREEZE,SEIZE,,
19,EDGE,PLEDGE,HEDGE,WEDGE,SLEDGE,ACKNOWLEDGE,PRIVILEGE,COLLEGE,KNOWLEDGE,,
10,EARN,BURN,TURN,LEARN,YEARN,DISCERN,INTERN,CONCERN,ADJOURN,,
11,FIRE,HIRE,TIRE,WIRE,MIRE,DESIRE,ENTIRE,INSPIRE,CONSPIRE,,
12,FACE,BASE,CASE,CHASE,GRACE,EMBRACE,REPLACE,DISGRACE,RETRACE,,
13,FEEL,HEEL,MEAL,REAL,SEAL,APPEAL,CONCEAL,REVEAL,IDEAL,,
14,FINE,LINE,MINE,SHINE,DINE,DEFINE,REFINE,RECLINE,INCLINE,,
15,GAME,NAME,SAME,TAME,FRAME,PROCLAIM,EXCLAIM,RECLAIM,BLAME,,
16,GOLD,BOLD,HOLD,FOLD,SOLD,UNFOLD,BEHOLD,UNTOLD,CONTROLLED,,
17,GLOW,FLOW,KNOW,SHOW,SLOW,BESTOW,OVERTHROW,PLATEAU,SHADOW,,
18,GRACE,BASE,CASE,FACE,PLACE,EMBRACE,REPLACE,DISGRACE,RETRACE,,
19,HEART,CART,PART,START,SMART,APART,CHART,IMPART,DART,,
20,HILL,BILL,CHILL,FILL,STILL,INSTILL,FULFILL,SPILL,TRILL,,
21,HOPE,COPE,ROPE,SCOPE,SLOPE,ELOPE,ENVELOPE,GROPE,ANTELOPE,,
22,HARM,ARM,CHARM,FARM,ALARM,DISARM,EMBALM,CALM,,,
23,ICE,DICE,MICE,NICE,PRICE,ENTICE,PRECISE,SPLICE,SLICE,,
24,INCH,PINCH,CINCH,FLINCH,FINCH,UNCLINCH,REFLINCH,LYNCH,CRINCH,,
25,IDEA,FEAR,NEAR,CHEER,CLEAR,APPEAR,REVERE,ENGINEER,STEER,,
26,IDLE,BRIDLE,RIDDLE,TIDAL,VITAL,ENTITLE,RECITAL,UNBRIDLE,SUBTLE,,
27,JOY,BOY,COY,TOY,EMPLOY,ALLOY,ANNOY,DECOY,DESTROY,,
28,JUMP,BUMP,HUMP,LUMP,STUMP,THUMP,CLUMP,TRUMP,SLUMP,,,
29,JOKE,POKE,SMOKE,BROKE,CLOAK,EVOKE,PROVOKE,REVOKE,AWOKE,,
30,JOLT,BOLT,COLT,REVOLT,VOLT,DEFAULT,CONSULT,CATAPULT,OCCULT,,
31,KING,BRING,SING,WING,STRING,UPSWING,FLING,SWING,BLING,,
32,KNEE,BEE,FEE,SEE,TREE,AGREE,DEGREE,FLEE,SPREE,,
33,KIND,FIND,MIND,BLIND,WIND,UNWIND,REMIND,REFINED,ALIGNED,,
34,KEEP,DEEP,LEAP,PEEP,SLEEP,STEEP,SWEEP,HEAP,REAP,,
35,LIGHT,BRIGHT,FIGHT,NIGHT,SIGHT,DELIGHT,CONTRITE,INSIGHT,FLIGHT,,
36,LONG,SONG,STRONG,WRONG,ALONG,PROLONG,BELONG,LIFELONG,THRONG,,
37,LOVE,ABOVE,DOVE,GLOVE,SHOVE,UNLOVE,BELOVED,DISAPPROVE,REPROVE,,
38,LUCK,BUCK,DUCK,TRUCK,STUCK,PLUCK,UNSTUCK,MUCK,STRUCK,,
39,MIGHT,BRIGHT,LIGHT,NIGHT,FIGHT,INCITE,EXCITE,IGNITE,POLITE,,
40,MIND,FIND,KIND,BLIND,WIND,REMIND,UNWIND,ALIGNED,REFINED,,
41,MOON,SOON,NOON,TUNE,SPOON,BALLOON,COCOON,MAROON,LAGOON,,
42,MOVE,GROOVE,PROVE,IMPROVE,REMOVE,DISAPPROVE,REPROVE,SMOOTH,BEHOOVE,,
43,NAME,SAME,FAME,TAME,GAME,PROCLAIM,EXCLAIM,RECLAIM,BLAME,,
44,NEAR,CLEAR,DEAR,FEAR,YEAR,APPEAR,REVERE,FRONTIER,ENGINEER,,
45,NEW,BLUE,CLUE,TRUE,FEW,RENEW,PURSUE,PREVIEW,IMBUE,,
