 "word","cnt","feetscore","feettype" 
 AA,2,2-1,mud 
 AAA,3,2-0-1,mud 
 AAAI,4,2-0-2-1,mud 
 AABERG,2,1-0,mud 
 AACHEN,2,1-0,mud 
 AACHENER,3,1-0-0,mud 
 AAH,1,1,mud 
 AAKER,2,1-0,mud 
 AALIYAH,3,2-1-2,mud 
 AALSETH,2,1-0,mud 
 AAMODT,2,1-0,mud 
 AANCOR,2,1-2,mud 
 AARDEMA,3,0-1-0,mud 
 AARDVARK,2,1-2,mud 
 AARDVARKS,2,1-2,mud 
 AARGH,1,1,mud 
 AARHUS,2,2-1,mud 
 AARON,2,1-0,mud 
 AARONS,2,1-0,mud 
 AARONSON,3,1-0-0,mud 
 AARTI,2,1-2,mud 
 AASE,1,1,mud 
 AASEN,2,1-0,mud 
 AB,1,1,mud 
 ABA,3,2-2-1,mud 
 ABABA,3,0-1-0,mud 
 ABACHA,3,1-0-0,mud 
 ABACK,2,0-1,mud 
 ABACO,3,1-0-2,mud 
 ABACUS,3,1-0-0,mud 
 ABAD,2,0-1,mud 
 ABADAKA,4,0-1-0-0,mud 
 ABADI,3,0-1-0,mud 
 ABADIE,3,0-1-0,mud 
 ABAIR,2,0-1,mud 
 ABALKIN,3,0-1-0,mud 
 ABALONE,4,2-0-1-0,mud 
 ABALONES,4,2-0-1-0,mud 
 ABALOS,3,0-1-0,mud 
 ABANDON,3,0-1-0,mud 
 ABANDONED,3,0-1-0,mud 
 ABANDONING,4,0-1-0-0,mud 
 ABANDONMENT,4,0-1-0-0,mud 
 ABANDONMENTS,4,0-1-0-0,mud 
 ABANDONS,3,0-1-0,mud 
 ABANTO,3,0-1-0,mud 
 ABARCA,3,0-1-0,mud 
 ABARE,3,0-1-0,mud 
 ABASCAL,3,1-0-0,mud 
 ABASH,2,0-1,mud 
 ABASHED,2,0-1,mud 
 ABASIA,3,0-1-0,mud 
 ABATE,2,0-1,mud 
 ABATED,3,0-1-0,mud 
 ABATEMENT,3,0-1-0,mud 
 ABATEMENTS,3,0-1-0,mud 
 ABATES,2,0-1,mud 
 ABATING,3,0-1-0,mud 
 ABATTOIR,3,2-0-1,mud 
 ABBA,2,1-0,mud 
 ABBADO,3,0-1-0,mud 
 ABBAS,2,0-1,mud 
 ABBASI,3,0-1-0,mud 
 ABBATE,2,1-0,mud 
 ABBATIELLO,5,0-0-0-1-0,mud 
 ABBE,2,1-0,mud 
 ABBENHAUS,3,1-0-2,mud 
 ABBETT,2,0-1,mud 
 ABBEVILLE,2,1-0,mud 
 ABBEY,2,1-0,mud 
 ABBIE,2,1-0,mud 
 ABBITT,2,1-0,mud 
 ABBOT,2,1-0,mud 
 ABBOTSTOWN,3,1-0-1,mud 
 ABBOTT,2,1-0,mud 
 ABBOTTSTOWN,3,1-0-1,mud 
 ABBOUD,2,0-1,mud 
 ABBREVIATE,4,0-1-0-2,mud 
 ABBREVIATED,5,0-1-0-2-0,mud 
 ABBREVIATES,4,0-1-0-2,mud 
 ABBREVIATING,5,0-1-0-2-0,mud 
 ABBREVIATION,5,0-2-0-1-0,mud 
 ABBREVIATIONS,5,0-2-0-1-0,mud 
 ABBRUZZESE,4,0-0-1-0,mud 
 ABBS,1,1,mud 
 ABBY,2,1-0,mud 
 ABC,3,1-2-2,mud 
 ABCO,2,1-0,mud 
 ABCOTEK,3,1-0-2,mud 
 ABCS,3,1-2-2,mud 
 ABD,3,2-2-1,mud 
 ABDALLA,3,2-1-0,mud 
 ABDALLAH,3,2-1-0,mud 
 ABDEL,2,1-2,mud 
 ABDELLA,3,2-1-0,mud 
 ABDICATE,3,1-0-2,mud 
 ABDICATED,4,1-0-2-0,mud 
 ABDICATES,3,1-0-2,mud 
 ABDICATING,4,1-0-2-0,mud 
 ABDICATION,4,2-0-1-0,mud 
 ABDNOR,2,1-0,mud 
 ABDO,2,1-0,mud 
 ABDOLLAH,3,2-1-0,mud 
 ABDOMEN,3,0-1-0,mud 
 ABDOMINAL,4,0-1-0-0,mud 
 ABDUCT,2,0-1,mud 
 ABDUCTED,3,0-1-0,mud 
 ABDUCTEE,3,0-2-1,mud 
 ABDUCTEES,3,0-2-1,mud 
 ABDUCTING,3,0-1-0,mud 
 ABDUCTION,3,0-1-0,mud 
 ABDUCTIONS,3,0-1-0,mud 
 ABDUCTOR,3,0-1-0,mud 
 ABDUCTORS,3,0-1-0,mud 
 ABDUCTS,2,0-1,mud 
 ABDUL,2,0-1,mud 
 ABDULAZIZ,4,0-2-0-1,mud 
 ABDULLA,3,0-1-0,mud 
 ABDULLAH,3,2-1-0,mud 
 ABE,1,1,mud 
 ABED,2,0-1,mud 
 ABEDI,3,0-1-0,mud 
 ABEE,2,0-1,mud 
 ABEL,2,1-0,mud 
 ABELA,3,0-1-0,mud 
 ABELARD,3,1-0-0,mud 
 ABELE,2,0-1,mud 
 ABELES,2,0-1,mud 
 ABELL,2,1-0,mud 
 ABELLA,3,0-1-0,mud 
 ABELN,2,1-0,mud 
 ABELOW,3,1-0-0,mud 
 ABELS,2,1-0,mud 
 ABELSON,3,1-0-0,mud 
 ABEND,2,1-0,mud 
 ABENDROTH,3,1-0-0,mud 
 ABER,2,1-0,mud 
 ABERCROMBIE,4,2-0-1-0,mud 
 ABERDEEN,3,1-0-2,mud 
 ABERFORD,3,1-0-0,mud 
 ABERG,2,1-0,mud 
 ABERLE,3,1-0-0,mud 
 ABERMIN,3,1-0-0,mud 
 ABERNATHY,4,1-0-2-0,mud 
 ABERNETHY,4,1-0-2-0,mud 
 ABERRANT,3,0-1-0,mud 
 ABERRATION,4,2-0-1-0,mud 
 ABERRATIONAL,5,2-0-1-0-0,mud 
 ABERRATIONS,4,2-0-1-0,mud 
 ABERT,2,1-0,mud 
 ABET,2,0-1,mud 
 ABETTED,3,0-1-0,mud 
 ABETTING,3,0-1-0,mud 
 ABEX,2,1-0,mud 
 ABEYANCE,3,0-1-0,mud 
 ABEYTA,3,0-1-0,mud 
 ABHOR,2,0-1,mud 
 ABHORRED,2,0-1,mud 
 ABHORRENCE,3,0-1-0,mud 
 ABHORRENT,3,0-1-0,mud 
 ABHORS,2,0-1,mud 
 ABIAM,3,1-0-0,mud 
 ABID,2,1-0,mud 
 ABIDE,2,0-1,mud 
 ABIDED,3,0-1-0,mud 
 ABIDES,2,0-1,mud 
 ABIDING,3,0-1-0,mud 
 ABIDJAN,3,0-0-1,mud 
 ABIE,2,1-0,mud 
 ABIGAIL,3,1-0-2,mud 
 ABILA,3,0-1-0,mud 
 ABILENE,3,1-0-2,mud 
 ABILITIES,4,0-1-0-2,mud 
 ABILITY,4,0-1-0-2,mud 
 ABIMAEL,3,2-0-1,mud 
 ABIMAELS,3,2-0-1,mud 
 ABINGDON,3,1-0-0,mud 
 ABINGTON,3,1-0-0,mud 
 ABIO,3,1-0-0,mud 
 ABIOLA,4,2-0-1-0,mud 
 ABIOMED,4,0-1-0-0,mud 
 ABIQUIU,3,0-1-0,mud 
 ABITIBI,4,2-0-1-0,mud 
 ABITZ,2,1-0,mud 
 ABJECT,2,1-0,mud 
 ABKHAZIA,3,0-1-0,mud 
 ABKHAZIAN,4,0-1-0-0,mud 
 ABKHAZIANS,4,0-1-0-0,mud 
 ABLATE,2,2-1,mud 
 ABLATION,3,2-1-0,mud 
 ABLAZE,2,0-1,mud 
 ABLE,2,1-0,mud 
 ABLED,2,1-0,mud 
 ABLER,3,1-0-0,mud 
 ABLES,2,1-0,mud 
 ABLEST,2,1-0,mud 
 ABLOOM,2,0-1,mud 
 ABLUTION,3,0-1-0,mud 
 ABLUTIONS,3,0-1-0,mud 
 ABLY,2,1-0,mud 
 ABNEGATION,4,2-0-1-0,mud 
 ABNER,2,1-0,mud 
 ABNEY,2,1-0,mud 
 ABNORMAL,3,0-1-0,mud 
 ABNORMALITIES,5,2-0-1-0-0,mud 
 ABNORMALITY,5,2-0-1-0-0,mud 
 ABNORMALLY,4,0-1-0-0,mud 
 ABO,2,1-0,mud 
 ABOARD,2,0-1,mud 
 ABODE,2,0-1,mud 
 ABOHALIMA,5,0-0-0-1-0,mud 
 ABOLISH,3,0-1-0,mud 
 ABOLISHED,3,0-1-0,mud 
 ABOLISHES,4,0-1-0-0,mud 
 ABOLISHING,4,0-1-0-0,mud 
 ABOLITION,4,2-0-1-0,mud 
 ABOLITIONISM,6,2-0-1-0-2-0,mud 
 ABOLITIONIST,5,2-0-1-0-0,mud 
 ABOLITIONISTS,5,2-0-1-0-0,mud 
 ABOMINABLE,5,0-1-0-0-0,mud 
 ABOMINATION,5,0-2-0-1-0,mud 
 ABOMINATIONS,5,0-2-0-1-0,mud 
 ABOOD,2,0-1,mud 
 ABOODI,3,0-1-0,mud 
 ABOR,2,0-1,mud 
 ABORIGINAL,5,2-0-1-0-0,mud 
 ABORIGINE,5,2-0-1-0-0,mud 
 ABORIGINES,5,2-0-1-0-0,mud 
 ABORN,2,0-1,mud 
 ABORT,2,0-1,mud 
 ABORTED,3,0-1-0,mud 
 ABORTIFACIENT,5,0-2-0-1-0,mud 
 ABORTIFACIENTS,5,0-2-0-1-0,mud 
 ABORTING,3,0-1-0,mud 
 ABORTION,3,0-1-0,mud 
 ABORTIONIST,4,0-1-0-0,mud 
 ABORTIONISTS,4,0-1-0-0,mud 
 ABORTIONS,3,0-1-0,mud 
 ABORTIVE,3,0-1-0,mud 
 ABORTS,2,0-1,mud 
 ABOTT,2,0-1,mud 
 ABOU,2,0-1,mud 
 ABOUD,2,0-1,mud 
 ABOUHALIMA,5,2-0-0-1-0,mud 
 ABOUND,2,0-1,mud 
 ABOUNDED,3,0-1-0,mud 
 ABOUNDING,3,0-1-0,mud 
 ABOUNDS,2,0-1,mud 
 ABOUT,2,0-1,mud 
 ABOVE,2,0-1,mud 
 ABOVEBOARD,3,0-1-2,mud 
 ABPLANALP,3,1-0-0,mud 
 ABRA,2,1-0,mud 
 ABRACADABRA,5,2-0-0-1-0,mud 
 ABRADE,2,0-1,mud 
 ABRADED,3,0-1-0,mud 
 ABRADES,2,0-1,mud 
 ABRAHAM,3,1-0-2,mud 
 ABRAHAMIAN,5,2-0-1-0-0,mud 
 ABRAHAMS,3,1-0-2,mud 
 ABRAHAMSEN,4,0-0-1-0,mud 
 ABRAHAMSON,4,0-1-0-0,mud 
 ABRAM,2,0-1,mud 
 ABRAMCZYK,3,1-0-0,mud 
 ABRAMO,3,0-1-0,mud 
 ABRAMOVITZ,4,0-1-0-0,mud 
 ABRAMOWICZ,4,0-1-0-0,mud 
 ABRAMOWITZ,4,0-1-0-0,mud 
 ABRAMS,2,1-0,mud 
 ABRAMSON,3,1-0-0,mud 
 ABRASION,3,0-1-0,mud 
 ABRASIONS,3,0-1-0,mud 
 ABRASIVE,3,0-1-0,mud 
 ABRASIVES,3,0-1-0,mud 
 ABRAXA,3,0-1-0,mud 
 ABRAXAS,3,0-1-0,mud 
 ABREAST,2,0-1,mud 
 ABREGO,3,0-1-0,mud 
 ABREU,2,0-1,mud 
 ABRIDGE,2,0-1,mud 
 ABRIDGED,2,0-1,mud 
 ABRIDGEMENT,3,0-1-0,mud 
 ABRIDGES,3,0-1-0,mud 
 ABRIDGING,3,0-1-0,mud 
 ABRIL,2,0-1,mud 
 ABROAD,2,0-1,mud 
 ABROGATE,3,1-0-2,mud 
